software_name,category,matched_projects,project_count,evidence,confidence_score
Python 3.10.6 Add to Path (64-bit),language_runtime,Seng321_Project,1,Python 3.10.6 Add to Path (64-bit): Seng321_Project (tech=python),0.90
Python 3.10.6 Core Interpreter (64-bit),language_runtime,Seng321_Project,1,Python 3.10.6 Core Interpreter (64-bit): Seng321_Project (tech=python),0.90
Python 3.10.6 Development Libraries (64-bit),language_runtime,Seng321_Project,1,Python 3.10.6 Development Libraries (64-bit): Seng321_Project (tech=python),0.90
Python 3.10.6 Documentation (64-bit),language_runtime,Seng321_Project,1,Python 3.10.6 Documentation (64-bit): Seng321_Project (tech=python),0.90
Python 3.10.6 Executables (64-bit),language_runtime,Seng321_Project,1,Python 3.10.6 Executables (64-bit): Seng321_Project (tech=python),0.90
Python 3.10.6 pip Bootstrap (64-bit),language_runtime,Seng321_Project,1,Python 3.10.6 pip Bootstrap (64-bit): Seng321_Project (tech=python),0.90
Python 3.10.6 Standard Library (64-bit),language_runtime,Seng321_Project,1,Python 3.10.6 Standard Library (64-bit): Seng321_Project (tech=python),0.90
Python 3.10.6 Tcl/Tk Support (64-bit),language_runtime,Seng321_Project,1,Python 3.10.6 Tcl/Tk Support (64-bit): Seng321_Project (tech=python),0.90
Python 3.10.6 Test Suite (64-bit),language_runtime,Seng321_Project,1,Python 3.10.6 Test Suite (64-bit): Seng321_Project (tech=python),0.90
Python 3.10.6 Utility Scripts (64-bit),language_runtime,Seng321_Project,1,Python 3.10.6 Utility Scripts (64-bit): Seng321_Project (tech=python),0.90
Python 3.13.1 Add to Path (64-bit),language_runtime,Seng321_Project,1,Python 3.13.1 Add to Path (64-bit): Seng321_Project (tech=python),0.90
Python 3.13.1 Core Interpreter (64-bit),language_runtime,Seng321_Project,1,Python 3.13.1 Core Interpreter (64-bit): Seng321_Project (tech=python),0.90
Python 3.13.1 Development Libraries (64-bit),language_runtime,Seng321_Project,1,Python 3.13.1 Development Libraries (64-bit): Seng321_Project (tech=python),0.90
Python 3.13.1 Documentation (64-bit),language_runtime,Seng321_Project,1,Python 3.13.1 Documentation (64-bit): Seng321_Project (tech=python),0.90
Python 3.13.1 Executables (64-bit),language_runtime,Seng321_Project,1,Python 3.13.1 Executables (64-bit): Seng321_Project (tech=python),0.90
Python 3.13.1 pip Bootstrap (64-bit),language_runtime,Seng321_Project,1,Python 3.13.1 pip Bootstrap (64-bit): Seng321_Project (tech=python),0.90
Python 3.13.1 Standard Library (64-bit),language_runtime,Seng321_Project,1,Python 3.13.1 Standard Library (64-bit): Seng321_Project (tech=python),0.90
Python 3.13.1 Tcl/Tk Support (64-bit),language_runtime,Seng321_Project,1,Python 3.13.1 Tcl/Tk Support (64-bit): Seng321_Project (tech=python),0.90
Python 3.13.1 Test Suite (64-bit),language_runtime,Seng321_Project,1,Python 3.13.1 Test Suite (64-bit): Seng321_Project (tech=python),0.90
Python Launcher,language_runtime,Seng321_Project,1,Python Launcher: Seng321_Project (tech=python),0.90
